Actual,Predicted
163,125.926704
113,125.926704
112,125.926704
112,125.926704
110,127.293365
150,155.06923
150,155.06923
129,128.9492
310,245.51279
143,147.21591
210,203.76895
114,133.30049
119,140.68059
146,148.06729
179,165.02174
200,176.74507
112,136.70119
200,205.21472
200,189.6249
1000,527.28235
200,236.11923
167,157.06146
118,171.11261
141,134.7501
281,221.6155
300,212.8954
159,212.8954
167,158.98184
178,178.36487
312,288.80936
200,208.47092
296,245.44121
295,253.34438
149,131.17674
103,131.17674
204,195.64568
201,208.35379
201,227.83376
136,141.85425
200,190.02525
105,115.36341
130,126.97083
137,137.3211
127,126.18286
139,151.15257
150,150.5304
150,148.25835
173,152.62614
131,137.35864
104,119.69622
180,180.73524
121,159.34554
192,180.9731
129,142.39244
150,145.12589
232,199.48268
338,267.27484
120,120.346695
200,185.56021
120,129.9403
129,122.916
129,120.82848
130,143.82213
101,103.548195
200,175.05742
101,108.10683
101,108.10683
104,111.27975
225,234.54077
200,204.37346
127,126.593666
135,152.95058
150,165.09862
170,165.46637
107,121.36843
300,276.19336
125,141.32832
160,176.31985
320,230.17651
106,134.694
305,203.25433
165,156.23427
126,133.44157
107,118.01893
180,176.45917
300,164.9278
104,164.9278
207,217.89961
164,164.5183
150,153.45491
125,122.23218
600,418.6062
125,128.69403
125,125.20058
125,127.88408
112,132.85175
195,190.11327
152,193.39445
101,105.3057
109,116.44955
166,154.1535
128,136.92363
140,149.14278
157,146.78035
270,261.5373
348,314.21542
170,167.9352
105,118.917694
113,119.271996
311,313.73212
350,283.76974
587,389.198
310,289.47247
117,130.45525
141,162.17906
115,129.7979
130,132.05801
181,161.92886
116,131.53067
200,188.16759
234,205.80083
248,240.20834
103,105.54274
140,175.6758
172,169.17073
275,247.77197
300,251.2279
174,168.07155
124,142.33836
248,207.0525
208,218.56929
150,163.36967
150,158.09164
150,155.24376
150,163.12617
201,172.8062
101,133.29485
180,180.87152
224,226.40456
150,157.75517
107,138.04967
117,148.05373
176,163.66
230,204.95972
420,387.5489
148,176.32965
210,206.65497
208,206.1104
319,226.21347
500,359.90204
126,134.76266
400,422.24963
115,128.98843
144,150.37874
400,384.42996
400,384.42996
400,395.75247
400,408.21912
400,346.12408
117,140.6766
180,149.85884
200,190.4356
129,120.623474
102,126.74513
106,108.496735
107,108.496735
105,112.56292
400,223.58124
370,263.84265
113,122.90885
150,158.95096
200,199.41243
137,159.22974
126,161.90564
120,143.24995
162,197.34492
205,200.25851
300,249.99393
192,190.44025
230,233.98457
211,172.33345
600,438.7517
114,146.84555
200,215.5377
183,172.79724
106,137.5838
124,156.98807
141,152.12642
150,136.37228
108,114.975266
110,114.975266
108,114.975266
333,320.12564
333,271.70245
300,284.72934
333,293.15582
225,259.34818
250,255.3006
131,126.465904
131,138.21452
132,139.6896
200,205.47133
105,118.27636
142,172.5546
165,186.65297
408,335.5217
409,242.1456
150,242.1456
136,180.55014
200,196.36197
150,161.4074
350,293.67654
411,293.67654
163,161.6986
260,227.39194
111,136.30681
153,162.80702
102,113.24558
110,118.7754
110,126.708466
185,180.15677
598,535.6914
597,537.34125
597,587.4177
597,566.7862
597,548.0115
150,175.64201
267,260.93546
200,217.65227
151,200.99612
354,269.5333
650,420.87405
750,493.27762
190,240.06944
500,434.03192
718,578.585
160,189.81842
326,288.03375
286,244.41933
226,235.01724
127,163.13425
117,116.190865
300,277.47208
300,267.80136
105,125.562096
120,121.21547
120,121.21547
123,121.21547
120,124.775955
120,124.775955
120,124.775955
108,118.72281
108,130.08586
109,122.441376
170,177.12186
164,164.58026
112,149.74414
174,149.74414
139,150.9815
320,290.88132
157,163.93803
102,125.389854
1037,666.0365
250,241.69894
150,186.82986
200,201.04602
200,186.59473
200,204.6195
200,199.60489
250,210.46202
244,203.33568
250,232.70187
250,226.68895
250,259.3139
250,264.26288
247,249.53143
250,207.74214
120,163.75237
151,152.08444
159,147.93948
120,131.61298
300,300.36584
150,154.07599
150,154.64116
163,168.81868
163,168.81868
163,168.81868
163,168.81868
163,168.81868
130,152.45724
631,523.43024
166,161.2621
120,134.77664
136,135.43687
114,143.38986
136,149.18259
140,150.78047
170,168.43617
200,180.53145
200,180.53145
247,241.55028
200,186.72234
230,234.82127
220,180.78741
139,178.82175
189,184.90494
200,191.01328
150,169.79872
400,258.54074
118,158.72482
187,183.16643
150,163.37689
170,191.07088
300,319.50394
161,158.84772
400,296.01376
105,101.24762
189,186.96327
120,141.56824
200,198.94623
150,165.32394
122,132.17944
122,138.67119
122,139.69672
150,165.7371
140,181.74274
1000,779.2978
136,149.5945
136,156.5872
136,156.01071
168,156.42355
168,156.42355
350,301.98395
350,314.08755
200,215.97295
140,206.82446
200,154.6692
127,127.96837
192,186.82288
200,195.09444
150,150.13597
700,529.013
286,278.64236
285,278.64236
286,262.35602
500,464.06897
500,477.53195
500,423.5198
200,193.65742
136,166.91884
700,537.7434
257,271.01804
210,225.2024
200,191.96408
300,288.0722
300,291.44888
300,266.03723
300,280.29108
525,479.08243
300,239.23828
530,443.52374
325,326.3038
251,307.98438
325,261.50497
150,179.3072
113,146.61963
250,183.85858
500,440.76935
145,172.5853
350,302.17108
150,158.70929
150,178.03632
195,242.64815
200,197.77402
125,128.27357
125,120.18386
125,120.48506
125,143.30072
101,104.972275
125,128.73468
104,113.23104
650,441.21024
125,133.92337
166,175.97049
166,170.46132
167,178.75505
1000,821.0534
167,173.11111
1000,699.2657
167,165.69649
167,172.94756
183,198.45203
110,167.35426
500,279.9364
500,378.97916
200,236.31786
200,207.01888
200,194.27779
200,204.87704
200,209.20064
212,229.07887
175,169.81313
300,166.91043
120,166.91043
215,177.58331
227,216.26283
107,145.06541
106,156.76132
213,296.98224
125,155.12393
125,135.47032
102,132.59216
150,200.72401
240,256.5238
300,272.3388
446,278.96844
330,333.13
334,333.13
333,323.6008
330,323.6008
333,316.2248
330,316.2248
300,229.27281
200,205.8309
102,123.533585
102,122.02868
318,267.78625
543,484.5178
1350,1459.0964
1350,1257.8889
1350,1257.8889
124,116.51571
272,285.101
1350,1257.8889
130,145.42455
150,163.52792
200,216.92645
420,352.21783
166,161.95467
166,168.77869
167,166.4304
167,163.8914
167,165.20526
167,191.0447
200,203.91898
200,176.66354
150,163.45795
963,703.8223
244,177.24243
227,202.68245
150,200.9993
400,324.96558
300,324.96558
126,137.27573
200,182.31665
700,448.29636
187,215.37349
237,196.38257
126,153.42627
250,207.41553
315,296.78436
115,149.20314
200,197.95836
300,265.72214
105,103.928566
105,103.928566
105,103.46199
105,103.46199
105,111.24854
105,111.24854
155,150.45268
156,158.89606
227,173.37874
125,151.50151
125,140.48244
400,264.38727
150,264.38727
300,264.38727
240,235.06204
117,130.25343
185,148.38223
137,141.75545
400,376.6355
400,376.6355
400,376.6355
104,133.11337
137,134.01952
138,148.11308
150,158.83148
300,292.3251
104,134.52858
300,327.01562
197,177.46652
225,225.9958
225,240.71967
215,203.87766
216,203.87766
120,145.9609
216,225.9958
216,225.9958
216,230.21861
216,230.21861
300,274.002
118,123.85722
125,125.96823
125,126.81581
115,124.56317
130,130.08481
150,128.6005
119,132.99352
200,229.69397
101,118.03477
167,175.00496
168,186.67159
370,352.39557
105,160.84126
475,340.63766
202,172.61618
200,207.27982
158,234.10909
600,293.16748
259,247.54846
159,234.10909
259,247.54846
123,172.61618
450,357.0675
450,412.89957
300,435.34244
330,347.18207
120,118.929016
143,201.04642
125,137.96973
322,264.2568
1172,607.54266
105,179.49387
1000,817.89417
109,108.25682
200,215.06049
140,148.32333
923,969.40283
923,880.55023
923,863.6203
923,874.58093
923,825.8728
200,192.13751
922,900.9747
922,969.40283
194,228.70123
923,880.55023
923,863.6203
923,874.58093
923,825.8728
923,766.178
923,886.7834
923,721.998
248,249.67375
350,331.0829
150,149.46507
1000,692.8898
923,885.4374
923,986.42224
923,914.96246
923,894.04675
923,891.6024
923,797.6611
120,146.00212
923,885.4374
923,986.42224
134,349.7732
923,922.1988
923,847.0726
1000,953.2418
1000,733.22986
1000,997.9173
1000,1040.6941
1000,983.1154
1000,1012.8287
1000,954.94006
923,894.4297
923,894.4297
923,916.7278
923,916.7278
1000,933.5682
1000,953.2418
120,142.9479
1000,997.9173
1000,1040.6941
1000,983.1154
1000,1012.8287
1000,954.94006
1000,933.5682
1000,953.2418
1000,997.9173
1000,1040.6941
1000,983.1154
1000,1012.8287
1000,954.94006
1000,933.5682
1000,924.9565
923,877.64996
1000,967.93066
1000,810.184
209,189.31744
1000,827.11414
208,191.38904
923,909.19446
1000,703.2401
923,861.56586
1000,582.43005
923,870.99725
1000,790.70746
923,961.66516
1000,924.9565
923,877.64996
1000,967.93066
923,986.8819
923,986.8819
1000,810.184
923,977.3254
1000,827.11414
923,909.19446
1000,703.2401
923,861.56586
923,870.99725
923,828.5191
923,828.5191
168,647.3376
923,647.3376
923,647.3376
210,214.48009
923,890.6062
923,890.6062
923,900.0753
500,703.2401
150,147.4843
150,147.4843
300,582.43005
225,582.43005
923,937.5414
923,928.4622
923,891.7638
923,895.9497
923,876.2011
923,979.53864
923,937.5414
923,930.0347
923,913.08496
923,850.4048
923,979.53864
923,979.53864
923,829.5664
923,829.5664
923,910.74347
923,910.74347
923,909.24304
226,530.76886
923,937.5414
923,930.0347
923,937.5414
923,910.75867
923,928.4622
923,850.4048
300,311.01047
923,895.9497
923,897.84644
200,795.915
188,758.20605
147,155.61447
1000,924.4811
1000,924.4811
1000,795.915
1000,938.37103
1000,884.8036
1000,758.20605
1000,943.5976
1000,973.4267
1000,924.4811
1000,795.915
1000,938.37103
1000,911.5285
1000,884.8036
1000,758.20605
1000,943.5976
1000,973.4267
117,129.47952
1000,924.4811
1000,795.915
1000,938.37103
1000,884.8036
1000,758.20605
1000,943.5976
1000,973.4267
1000,924.4811
1000,795.915
1000,938.37103
1000,1037.6443
1000,966.9175
1000,787.70325
1000,898.5552
500,477.17703
1000,953.78204
1000,948.25604
1000,937.5275
1000,978.8282
1000,959.13556
1000,1008.10547
1000,966.9175
1000,898.5552
1000,771.8389
1000,948.25604
1000,937.5275
1000,978.8282
1000,959.13556
1000,966.9175
165,787.70325
1000,951.75415
1000,787.70325
1000,983.38855
266,771.8389
1000,771.8389
1000,771.8389
1000,948.25604
1000,966.5626
125,135.65819
1000,937.5275
1000,978.8282
1000,978.8282
1000,1117.8378
1000,959.13556
1000,966.9175
1000,787.70325
1000,771.8389
1000,948.25604
1000,978.8282
1000,959.13556
1000,1008.10547
150,163.97374
600,488.07944
1000,783.50385
700,607.44775
111,147.27925
200,213.55263
500,466.66302
300,306.03424
200,193.47177
264,277.1578
207,261.21774
400,330.51334
200,208.03209
145,198.48322
213,196.28557
110,108.28225
102,112.10934
215,239.15158
140,138.89641
180,191.36363
236,191.36363
175,191.36363
1000,666.5593
107,131.25644
600,597.59924
600,641.1083
600,690.69495
200,192.70953
300,264.7621
101,135.98676
1000,867.7791
103,174.91888
321,174.91888
104,116.84662
129,131.83911
129,131.83911
128,131.83911
150,154.16386
231,216.30841
1000,973.44946
102,129.335
103,104.106384
300,317.12988
300,284.94278
107,126.68685
200,203.13983
400,322.4593
200,203.08757
400,335.81052
125,124.11737
125,124.11737
125,124.11737
125,124.11737
200,188.93776
111,136.02725
300,291.54413
300,291.54413
150,171.7827
1000,894.2239
115,159.02756
200,197.78065
142,148.88454
1000,595.0492
185,181.04791
186,181.04791
186,181.04791
186,181.04791
200,213.51222
200,206.84824
200,215.75227
600,473.15027
200,224.90327
137,154.95726
120,134.04025
300,262.1616
300,255.3117
128,140.60541
110,120.73836
110,120.73836
137,139.67499
1000,848.83185
300,261.74393
158,156.86179
158,169.86029
300,187.45688
150,187.45688
207,230.5453
200,187.22786
150,153.20023
150,153.20023
122,138.62344
126,138.62344
404,329.1979
